x	y=Hi-Res-Si	x	y=Si-SiN	x	y=Al2O3	x	y=SiO2
0.25	--	0.25	--	0.25	--	0.25	--
0.25	--	0.25	--	0.25	--	0.25	--
0.25	--	0.25	--	0.25	--	0.25	--
0.16667	--	0.16667	--	0.16667	--	0.16667	--
0.16667	--	0.16667	--	0.16667	--	0.16667	--
0.16667	--	0.16667	--	0.16667	--	0.16667	--
0.1	2007.38488	0.1	--	0.1	--	0.1	--
0.1	1905.42929	0.1	--	0.1	2304.886	0.1	--
0.06667	1931.75761	0.1	--	0.1	2324.03923	0.1	--
0.06667	1986.18014	0.1	2500.00049	0.1	2222.6733	0.1	--
0.06667	2018.52172	0.06667	2207.84714	0.06667	2125.23268	0.1	--
0.05	1987.90558	0.06667	2238.5827	0.06667	2125.23268	0.1	--
0.05	2033.01822	0.06667	2240.5151	0.06667	2148.53644	0.1	--
0.05	1926.59907	0.05	2099.82582	0.05	1954.18874	0.05	--
0.03333	1854.62317	0.05	2065.30674	0.05	1970.88622	0.05	--
0.03333	1868.98053	0.03333	1933.9687	0.05	1967.10164	0.05	--
0.03333	1792.61183	0.03333	1914.66009	0.05	1862.88768	0.05	--
0.02	1611.32116	0.03333	1948.86881	0.03333	1783.7914	0.03333	--
0.02	1614.72183	0.02	1727.5902	0.03333	1742.92226	0.03333	--
0.02	1630.00498	0.02	1732.63271	0.03333	1801.24286	0.03333	--
0.02	1627.20702	0.01667	1672.17876	0.03333	1705.42427	0.03333	--
0.02	1644.6918	0.01667	1669.46643	0.02	1596.53766	0.03333	2026.11066
0.02	1600.49845	0.01667	1679.49781	0.02	1617.60905	0.03333	2021.18821
0.01667	1595.68004	0.0125	1572.73983	0.02	1586.99498	0.02	1807.3882
0.01667	1570.14855	0.0125	1574.23396	0.02	1576.4173	0.02	1892.50674
0.01667	1547.73741	0.01	1502.29502	0.01667	1481.95736	0.01667	1829.21464
0.01667	1535.31653	0.01	1501.15034	0.01667	1525.52215	0.01667	1802.76206
0.01667	1462.46094	0.01	1508.75665	0.01667	1532.72805	0.01667	1807.01857
0.0125	1461.02308	0.01	1502.50887	0.01667	1550.2546	0.0125	1709.22761
0.0125	1392.35499	0.00833	1417.6437	0.01667	1549.19089	0.01	1663.21949
0.01	1405.1619	0.00833	1417.35619	0.0125	1404.15622	0.01	1642.55788
0.01	1387.02466	0.00833	1418.32291	0.0125	1409.03835	0.00833	1612.38083
0.01	1392.96561	0.00833	1420.38448	0.01	1365.428	0.00833	1588.84416
0.01	1334.96402	0.00833	1412.85966	0.01	1366.96404	0.00667	1454.39563
0.00833	1337.63879	0.00667	1371.18375	0.01	1347.73086	0.005	--
0.00833	1228.2766	--	--	0.00833	1283.46237	0.005	--
0.00667	1240.48331	--	--	0.00833	1262.54453	--	--
0.00667	--	--	--	0.00833	1279.43347	--	--
0.005	--	--	--	0.00667	1236.16683	--	--
0.005	--	--	--	0.00667	1238.60858	--	--
--	--	--	--	0.00667	1252.96548	--	--
--	--	--	--	0.00667	1256.80029	--	--
