# w(nm)	HiR-Si	Si-SiN	Al2O3	SiO2
1.000000000000000000e+00	4.933673074239286507e+03	6.443633769966022555e+03	6.065472709650243814e+03	5.888467978229813525e+03
1.830000000000000071e+00	3.865603808069682600e+03	4.933194461801864236e+03	4.630490510633341728e+03	4.591666245614327636e+03
2.660000000000000142e+00	3.354381683553224320e+03	4.210235739431667753e+03	3.943648681492807555e+03	3.970963302628382280e+03
3.489999999999999769e+00	3.041656920313676892e+03	3.767987478953835307e+03	3.523493844485011323e+03	3.591266940560778949e+03
4.320000000000000284e+00	2.826004883291394890e+03	3.463017264079771849e+03	3.233759045338035321e+03	3.329431922823131572e+03
5.149999999999999467e+00	2.666211064860735860e+03	3.237040473805772308e+03	3.019071391434021280e+03	3.135417445330229839e+03
5.979999999999999538e+00	2.541969159434001995e+03	3.061340391777614968e+03	2.852148769178738803e+03	2.984568503857876294e+03
6.809999999999999609e+00	2.441972302354000931e+03	2.919927106693421592e+03	2.717800076249817721e+03	2.863156811166349598e+03
7.639999999999999680e+00	2.359364142219418682e+03	2.803104522059123155e+03	2.606813604640363792e+03	2.762857693324593129e+03
8.469999999999998863e+00	2.289716231932698065e+03	2.704610028527044051e+03	2.513239606561946857e+03	2.678294328762312489e+03
9.299999999999998934e+00	2.230025561395525074e+03	2.620196837392580164e+03	2.433043450393716284e+03	2.605820597492815068e+03
1.012999999999999901e+01	2.178175252090093181e+03	2.546871307114698538e+03	2.363381048128692782e+03	2.542866280695484875e+03
1.095999999999999908e+01	2.132625147626625221e+03	2.482455383492680994e+03	2.302183154753435701e+03	2.487561389655149014e+03
1.178999999999999915e+01	2.092224839703180805e+03	2.425322185223293673e+03	2.247904163173746383e+03	2.438509150280064205e+03
1.261999999999999922e+01	2.056095734085650292e+03	2.374229224287118541e+03	2.199363656420389816e+03	2.394642812911620695e+03
1.344999999999999929e+01	2.023553936799881285e+03	2.328209353352146991e+03	2.155642802999934247e+03	2.355132024202243883e+03
1.427999999999999936e+01	1.994058259903719545e+03	2.286497236717009855e+03	2.116014501133578960e+03	2.319319698059029633e+03
1.510999999999999943e+01	1.967174223083522975e+03	2.248478442186029042e+03	2.079895013852525153e+03	2.286678307999039589e+03
1.593999999999999950e+01	1.942548547437623256e+03	2.213653370756849654e+03	2.046809700652418314e+03	2.256778918646740294e+03
1.676999999999999957e+01	1.919890712094963419e+03	2.181611174409229989e+03	2.016368238272758163e+03	2.229268792608705098e+03
1.759999999999999787e+01	1.898959375159746742e+03	2.152010552913246102e+03	1.988246376840138737e+03	2.203854903394484609e+03
1.842999999999999972e+01	1.879552213635560292e+03	2.124565385680649342e+03	1.962172289510084966e+03	2.180291599508801482e+03
1.925999999999999801e+01	1.861498210581541571e+03	2.099033824436216491e+03	1.937916210036490384e+03	2.158371239862970015e+03
2.008999999999999986e+01	1.844651722894568593e+03	2.075209904010003811e+03	1.915282462664037666e+03	2.137916991142472853e+03
2.091999999999999815e+01	1.828887864061382061e+03	2.052917012730221359e+03	1.894103258721054544e+03	2.118777221751958223e+03
2.175000000000000000e+01	1.814098871200490976e+03	2.032002754776372967e+03	1.874233815634395569e+03	2.100821090840691795e+03
2.257999999999999829e+01	1.800191218017665506e+03	2.012334867386456835e+03	1.855548478100971806e+03	2.083935042982781397e+03
2.341000000000000014e+01	1.787083299463613002e+03	1.993797946552418580e+03	1.837937607357835986e+03	2.068019996992516099e+03
2.423999999999999844e+01	1.774703559160815530e+03	1.976290798869695436e+03	1.821305065325542955e+03	2.052989072330137333e+03
2.507000000000000028e+01	1.762988963061592131e+03	1.959724283019098948e+03	1.805566163923254180e+03	2.038765735886009224e+03
2.589999999999999858e+01	1.751883746274134865e+03	1.944019537556648856e+03	1.790645981392981639e+03	2.025282280433075812e+03
2.673000000000000043e+01	1.741338377205716370e+03	1.929106516028409715e+03	1.776477970595785791e+03	2.012478566936068091e+03
2.755999999999999872e+01	1.731308695932003047e+03	1.914922768471938753e+03	1.763002801385827070e+03	2.000300978398222014e+03
2.838999999999999702e+01	1.721755193257263272e+03	1.901412421879598242e+03	1.750167392006736463e+03	1.988701544528563318e+03
2.921999999999999886e+01	1.712642404155160420e+03	1.888525322416293875e+03	1.737924094161635594e+03	1.977637205284960601e+03
3.004999999999999716e+01	1.703938394791195606e+03	1.876216309978261734e+03	1.726230003812833274e+03	1.967069188039814208e+03
3.087999999999999901e+01	1.695614326567400894e+03	1.864444601674969817e+03	1.715046375463161667e+03	1.956962478262704735e+03
3.170999999999999730e+01	1.687644083916750787e+03	1.853173265464424276e+03	1.704338122086912790e+03	1.947285367605082456e+03
3.253999999999999915e+01	1.680003955141899951e+03	1.842368768802558179e+03	1.694073386327381058e+03	1.938009066388997326e+03
3.336999999999999744e+01	1.672672357611948428e+03	1.832000590022737924e+03	1.684223171290703704e+03	1.929107369953355374e+03
3.419999999999999574e+01	1.665629600229395237e+03	1.822040882421918013e+03	1.674761021413287835e+03	1.920556370251960743e+03
3.503000000000000114e+01	1.658857677352859810e+03	1.812464182830834716e+03	1.665662745590977465e+03	1.912334205643738414e+03
3.585999999999999943e+01	1.652340089381567168e+03	1.803247157888657284e+03	1.656906176129080222e+03	1.904420843054477245e+03
3.668999999999999773e+01	1.646061686029953762e+03	1.794368382405494685e+03	1.648470958177230386e+03	1.896797887687893308e+03
3.751999999999999602e+01	1.640008528986925285e+03	1.785808145138233385e+03	1.640338365208095183e+03	1.889448416272668965e+03
3.835000000000000142e+01	1.634167771196774993e+03	1.777548278072357107e+03	1.632491136827774426e+03	1.882356830490767607e+03
3.917999999999999972e+01	1.628527550442626080e+03	1.769572005930062460e+03	1.624913335802045594e+03	1.875508727771226404e+03
